ID,SEX,AGE,FO,TIP,Q1,Q2,Q6,TV,INETR,EDU,DOHOD_0,PROF,PROF2,PROF3,weight1
07169ed8148ce047,Мужской,18.0,Северо-Кавказский федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)","Пока не определился, определюсь ближе к выборам","Владимир ПУтин, самовыдвиженец",Несколько раз в неделю,Провожу в интернете более четырех часов ежедневно,Неполное среднее образование (закончил до 9-ти классов),Очень хорошее,"Предприниматель, собственник бизнеса",,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство Включает в том числе: Фермерское хозяйство, скотобойни, ...",1.4451723016713043
0716a4f3354cecdd,Мужской,23.0,Северо-Кавказский федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)","Пока не определился, определюсь ближе к выборам","Владимир ПУтин, самовыдвиженец","Редко, но не менее одного раза в полгода",Провожу в интернете более четырех часов ежедневно,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,"Работаю в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пенсионеров)","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Торговля (оптовая, розничная, онлайн продажи; в т.ч. - недвижимость) Включает в том числе: Магазин, автосалон, аукцио...",1.4451723016713043
0716889b304ce79c,Мужской,20.0,Приволжский федеральный округ,Город с численностью менее 50 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Несколько раз в неделю,Провожу в интернете более четырех часов ежедневно,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,"Работаю в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пенсионеров)","Работаю в правоохранительных органах, вооруженных силах, МЧС","Правоохранительные органы, силовые структуры, МЧС, военная служба Включает в том числе: Полиция, росгвардия, пожарно-...",1.3016905687319176
07168e28b5cce563,Мужской,22.0,Северо-Западный федеральный округ,Город с численностью жителей миллион и более человек,(НЕ ЗАЧИТЫВАТЬ) Слышу впервые / нет ответа / затрудняюсь ответить,"Пока не определился, определюсь ближе к выборам","Владислав ДаванкОв, партия «Новые люди»",Несколько раз в неделю,Провожу в интернете более четырех часов ежедневно,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,"Временно не работаю, безработный",,,1.5386284606748153
0716a563914ce549,Мужской,21.0,Южный федеральный округ,Город с численностью жителей миллион и более человек,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Не смотрю,Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 4-го курса вуза) или законченное высшее образование,Очень хорошее,"Работающий учащийся, студент","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Информационные технологии, связь, интернет Включает в том числе: Программирование /создание программного обеспечения,...",1.9670151068732697
0716aac995cce5ae,Мужской,27.0,Южный федеральный округ,Город с численностью жителей миллион и более человек,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)","Пока не определился, определюсь ближе к выборам","Владимир ПУтин, самовыдвиженец",Не смотрю,Ежедневно менее четырех часов в день,Неполное среднее образование (закончил до 9-ти классов),Очень хорошее,"Работаю в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пенсионеров)","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...",Отказ от ответа,1.1275579843143275
07169cf9604cee1c,Мужской,37.0,Северо-Западный федеральный округ,Город с численностью менее 50 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец","Редко, но не менее одного раза в полгода",Несколько раз в неделю,Среднее образование (закончил 10-11 классов школы),Очень хорошее,"Работаю в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пенсионеров)","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Промышленность, производство (в т.ч. добывающие, обрабатывающие отрасли, энергетика) Включает в том числе: Завод, ком...",0.5793843525877674
07168daf680ceff8,Мужской,43.0,Южный федеральный округ,Город с численностью от 50 тысяч до 100 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Не смотрю,Ежедневно менее четырех часов в день,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Самозанятый,,Другое (укажите),0.6622586842372166
0716aa97fe4ce46d,Мужской,39.0,Северо-Западный федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,(НЕ ЗАЧИТЫВАТЬ) Неправильный ответ,Точно приму,"Владимир ПУтин, самовыдвиженец",Не смотрю,Провожу в интернете более четырех часов ежедневно,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,0.46822644084996484
0716921d124ce8cd,Мужской,36.0,Центральный федеральный округ,Город с численностью жителей миллион и более человек,(НЕ ЗАЧИТЫВАТЬ) Слышу впервые / нет ответа / затрудняюсь ответить,Скорее не приму,"Владимир ПУтин, самовыдвиженец",Ежедневно менее четырех часов в день,Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 4-го курса вуза) или законченное высшее образование,Очень хорошее,"Предприниматель, собственник бизнеса",,"Жилищно-коммунальное хозяйство Включает в том числе: водоканал, горгаз, вывоз мусора, котельная, сортировка и перераб...",1.1112583546871004
0716c4eb284cec10,Мужской,43.0,Центральный федеральный округ,Город с численностью жителей миллион и более человек,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно не приму,Не стал бы участвовать в выборах,Не смотрю,Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 4-го курса вуза) или законченное высшее образование,Очень хорошее,"Предприниматель, собственник бизнеса",,"Финансовая и страховая деятельность, банковские услуги Включает в том числе: Банк, инвестиционный фонд, финансовая ар...",1.1112583546871004
0716bcd1898ce8a6,Мужской,49.0,Центральный федеральный округ,Поселок городского типа,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Провожу в интернете более четырех часов ежедневно,"Два и более высших образования, ученая степень",Очень хорошее,"Работаю в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пенсионеров)","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Промышленность, производство (в т.ч. добывающие, обрабатывающие отрасли, энергетика) Включает в том числе: Завод, ком...",1.01714910312819
0716784400cce894,Мужской,60.0,Уральский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Не смотрю,Не пользуюсь,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Работающий пенсионер,"Я работаю в БЮДЖЕТНОЙ организации, которая безвозмездно оказывает услуги населению (детский сад, общеобразовательная,...","Образование, наука Включает в том числе: ясли, детский сад, школа, ССУЗ, вуз, научно-исследовательские институты, центры",0.6805227089684727
0716a2204f4ce9ea,Женский,20.0,Приволжский федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно не приму,"Владимир ПУтин, самовыдвиженец",Несколько раз в месяц,Ежедневно менее четырех часов в день,Среднее образование (закончил 10-11 классов школы),Очень хорошее,"Неработающий учащийся, студент",,,1.3638397531173874
07167d63ed4ce358,Женский,23.0,Северо-Кавказский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владислав ДаванкОв, партия «Новые люди»",Не смотрю,Провожу в интернете более четырех часов ежедневно,Среднее образование (закончил 10-11 классов школы),Очень хорошее,"Временно не работаю, безработный",,,0.9335161970724183
071683ce658cece0,Женский,44.0,Приволжский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,Приду и испорчу бюллетень,"Редко, но не менее одного раза в полгода",Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 4-го курса вуза) или законченное высшее образование,Очень хорошее,"Работаю в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пенсионеров)","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Здравоохранение Включает в том числе: поликлиники, медицинские центры, больницы, стационары, «Скорая помощь», санатории",1.0072556913692174
